Product Name,Price,Ratings,Model Number,Processor,RAM,Operating System,Storage,Warranty,Brand,text
DELL 14,"₹79,900",4.3,,Intel Core i5 Processor,(13th Gen)16 GB DDR5RAM,Windows 11 Operating System,512 GB SSD,,DELL,"DELL 14 for ₹₹79,900 - Intel Core i5 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Touchscreen DisplayMy Dell (Dell Power Manager,Dell Support Assist)1 Year Onsite Hardware Service"
Acer Nitro V AMD Ryzen 5 Hexa Core 6600H,"₹64,990",4.3,,AMD Ryzen 5 Hexa Core Processor,16 GB DDR5RAM,64 bit Windows 11 Operating System,512 GB SSD,1 Year International Travelers Warranty,Acer,"Acer Nitro V AMD Ryzen 5 Hexa Core 6600H for ₹₹64,990 - AMD Ryzen 5 Hexa Core Processor16 GB DDR5 RAM64 bit Windows 11 Operating System512 GB SSD40.64 cm (16 inch) Display1 Year International Travelers Warranty (ITW)"
HP 15s AMD Ryzen 5 Quad Core 7520U,"₹38,000",4.9,15-fc0028AU,AMD Ryzen 5 Quad Core Processor,8 GB DDR4RAM,64 bit Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,HP,"HP 15s AMD Ryzen 5 Quad Core 7520U for ₹₹38,000 - AMD Ryzen 5 Quad Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty"
Acer Chromebook,"₹33,999",4.4,,Intel Celeron Dual Core Processor,8 GB LPDDR4XRAM,Chrome Operating System,,1 Year Onsite Warranty,Acer,"Acer Chromebook for ₹₹33,999 - Intel Celeron Dual Core Processor8 GB LPDDR4X RAMChrome Operating System35.56 cm (14 inch) Display1 Year Onsite Warranty"
MSI Thin 15,"₹50,990",4.2,,Intel Core i5 Processor,(12th Gen)16 GB DDR4RAM,Windows 11 Operating System,512 GB SSD,2 Year Onsite Warranty,MSI,"MSI Thin 15 for ₹₹50,990 - Intel Core i5 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty"
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS,"₹54,990",3.5,,AMD Ryzen 7 Octa Core Processor,8 GB DDR5RAM,Windows 11 Home Operating System,512 GB SSD,1 Year Carry-in Warranty,ASUS,"ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS for ₹₹54,990 - AMD Ryzen 7 Octa Core Processor8 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Carry-in Warranty"
ASUS AMD Ryzen 5 10th Gen 7520U,"₹40,590",4.1,,AMD Ryzen 5 Processor,(10th Gen)16 GB DDR4RAM,Windows 11 Operating System,512 GB SSD,1 Year Warranty,ASUS,"ASUS AMD Ryzen 5 10th Gen 7520U for ₹₹40,590 - AMD Ryzen 5 Processor (10th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Warranty"
ASUS VivoBook 14,"₹31,999",4.8,,Intel Core i3 Processor,(11th Gen)8 GB DDR4RAM,64 bit Windows 11 Operating System,256 GB SSD,1 Year Onsite Warranty,ASUS,"ASUS VivoBook 14 for ₹₹31,999 - Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty"
CHUWI,"₹24,490",3.8,,Intel Core i3 Processor,(12th Gen)8 GB DDR4RAM,Windows 11 Home Operating System,512 GB SSD,,CHUWI,"CHUWI for ₹₹24,490 - Intel Core i3 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Home Operating System512 GB SSD35.56 cm (14 inch) DisplayWPS Office, Operating System Software12 months"
HP,"₹48,990",4.1,,Intel Core i5 Processor,(12th Gen)16 GB DDR4RAM,Windows 11 Operating System,512 GB SSD,,HP,"HP for ₹₹48,990 - Intel Core i5 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite warranty"
HP 15s,"₹34,991",4.3,15s-fq2626TU,Intel Core i3 Processor,(11th Gen)8 GB DDR4RAM,64 bit Windows 11 Operating System,256 GB SSD,"Microsoft Office Home & Student 2019, HP Documentation, HP SSRM, HP Smart1 Year Onsite Warranty",HP,"HP 15s for ₹₹34,991 - Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office Home & Student 2019, HP Documentation, HP SSRM, HP Smart1 Year Onsite Warranty"
ASUS Zenbook S 13 OLED AI PC,"₹1,44,327",4.4,,Intel Core Ultra 7 Processor,32 GB LPDDR5XRAM,Windows 11 Operating System,1 TB SSD,,ASUS,"ASUS Zenbook S 13 OLED AI PC for ₹₹1,44,327 - Intel Core Ultra 7 Processor32 GB LPDDR5X RAMWindows 11 Operating System1 TB SSD33.78 cm (13.3 Inch) Display1 Year Onsite warranty"
HP Victus,"₹57,990",4.3,,Intel Core i5 Processor,(12th Gen)8 GB DDR4RAM,Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,HP,"HP Victus for ₹₹57,990 - Intel Core i5 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty"
Lenovo V15 AMD Ryzen 3 Quad Core 7320U,"₹27,290",3.7,,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5RAM,DOS Operating System,512 GB SSD,1 Year Onsite Warranty,Lenovo,"Lenovo V15 AMD Ryzen 3 Quad Core 7320U for ₹₹27,290 - AMD Ryzen 3 Quad Core Processor8 GB LPDDR5 RAMDOS Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty"
HP 15 (2024) AMD Ryzen 3 Quad Core 7320U,"₹29,990",3.2,,AMD Ryzen 3 Quad Core Processor,8 GB DDR4RAM,Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,HP,"HP 15 (2024) AMD Ryzen 3 Quad Core 7320U for ₹₹29,990 - AMD Ryzen 3 Quad Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty"
CHUWI,"₹16,490",4.3,,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD StorageHard-Decoding 4k@60Hz
Graphics/GPU: UHD Graphics 600
Display: 14.1 inch, 16:9 IPS Display
Touchpad: Larger Touchpad with easy control
Keyboard: Chiclet keyboard keysIntel Celeron Dual Core Processor",(11th Gen)8 GB DDR4RAM,"/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD StorageHard-Decoding 4k@60Hz
Graphics/GPU: UHD Graphics 600
Display: 14.1 inch, 16:9 IPS Display
Touchpad: Larger Touchpad with easy control
Keyboard: Chiclet keyboard keysIntel Celeron Dual Core Processor (11th Gen)8 GB DDR4 Operating System",256 GB SSD,"WPS Office, Operating System Software1 Year Onsite Warranty",CHUWI,"CHUWI for ₹₹16,490 - Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD StorageHard-Decoding 4k@60Hz
Graphics/GPU: UHD Graphics 600
Display: 14.1 inch, 16:9 IPS Display
Touchpad: Larger Touchpad with easy control
Keyboard: Chiclet keyboard keysIntel Celeron Dual Core Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.81 cm (14.1 inch) DisplayWPS Office, Operating System Software1 Year Onsite Warranty"
HP 15 G10 (2025) AMD Ryzen 5 Quad Core 7520U,"₹31,900",3.4,,AMD Ryzen 5 Quad Core Processor,8 GB DDR4RAM,64 bit Windows 11 Home Operating System,512 GB SSD,"Microsoft Office 2021, Windows 11 Home1 Year Onsite Warranty",HP,"HP 15 G10 (2025) AMD Ryzen 5 Quad Core 7520U for ₹₹31,900 - AMD Ryzen 5 Quad Core Processor8 GB DDR4 RAM64 bit Windows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office 2021, Windows 11 Home1 Year Onsite Warranty"
ASUS Vivobook Go 15 OLED,"₹40,449",4.2,,Intel Core i3 Processor,(12th Gen)8 GB DDR4RAM,Windows 11 Operating System,512 GB SSD,1 Year Warranty,ASUS,"ASUS Vivobook Go 15 OLED for ₹₹40,449 - Intel Core i3 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Warranty"
